Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
"navigateToUrl(""http://dev-chiragh.surge.sh/"")",Chrome 71.0.3578.98,,2019-01-01 18:13:55,2019-01-01 18:14:08,13.300s,PASSED
maximizeWindow(),Chrome 71.0.3578.98,,2019-01-01 18:14:08,2019-01-01 18:14:10,1.168s,PASSED
delay(3),Chrome 71.0.3578.98,,2019-01-01 18:14:10,2019-01-01 18:14:13,3.004s,PASSED
"click(findTestObject(""Object Repository/about us/Page_Chiragh/a_About Us(current)""))",Chrome 71.0.3578.98,,2019-01-01 18:14:13,2019-01-01 18:14:13,0.148s,PASSED
delay(3),Chrome 71.0.3578.98,,2019-01-01 18:14:13,2019-01-01 18:14:16,3.004s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/about us/Page_Chiragh/div_MISSION STATEMENT""), 5)",Chrome 71.0.3578.98,,2019-01-01 18:14:16,2019-01-01 18:14:16,0.108s,PASSED
closeBrowser(),Chrome 71.0.3578.98,,2019-01-01 18:14:16,2019-01-01 18:14:17,0.807s,PASSED
Start listener action : sampleAfterTestCase,Chrome 71.0.3578.98,,2019-01-01 18:14:17,2019-01-01 18:14:17,0.004s,PASSED
,,,,,,
Test Cases/header/Buy,Chrome 71.0.3578.98,,2019-01-01 18:14:17,2019-01-01 18:14:42,25.587s,PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2019-01-01 18:14:17,2019-01-01 18:14:19,2.380s,PASSED
"navigateToUrl(""http://dev-chiragh.surge.sh/"")",Chrome 71.0.3578.98,,2019-01-01 18:14:19,2019-01-01 18:14:34,14.613s,PASSED
maximizeWindow(),Chrome 71.0.3578.98,,2019-01-01 18:14:34,2019-01-01 18:14:35,1.157s,PASSED
delay(3),Chrome 71.0.3578.98,,2019-01-01 18:14:35,2019-01-01 18:14:38,3.003s,PASSED
"click(findTestObject(""buy/Page_Chiragh/a_Buy""))",Chrome 71.0.3578.98,,2019-01-01 18:14:38,2019-01-01 18:14:38,0.222s,PASSED
delay(3),Chrome 71.0.3578.98,,2019-01-01 18:14:38,2019-01-01 18:14:41,3.003s,PASSED
"verifyElementPresent(findTestObject(""buy/new/Page_Chiragh/div_Current Auctions        Ac""), 5)",Chrome 71.0.3578.98,,2019-01-01 18:14:41,2019-01-01 18:14:41,0.100s,PASSED
closeBrowser(),Chrome 71.0.3578.98,,2019-01-01 18:14:41,2019-01-01 18:14:42,0.835s,PASSED
Start listener action : sampleAfterTestCase,Chrome 71.0.3578.98,,2019-01-01 18:14:42,2019-01-01 18:14:42,0.004s,PASSED
,,,,,,
Test Cases/header/FAQS,Chrome 71.0.3578.98,,2019-01-01 18:14:42,2019-01-01 18:15:07,25.219s,PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2019-01-01 18:14:43,2019-01-01 18:14:45,2.367s,PASSED
"navigateToUrl(""http://dev-chiragh.surge.sh/"")",Chrome 71.0.3578.98,,2019-01-01 18:14:45,2019-01-01 18:14:59,14.292s,PASSED
maximizeWindow(),Chrome 71.0.3578.98,,2019-01-01 18:14:59,2019-01-01 18:15:00,1.176s,PASSED
delay(3),Chrome 71.0.3578.98,,2019-01-01 18:15:00,2019-01-01 18:15:03,3.003s,PASSED
"click(findTestObject(""Object Repository/FAQS/Page_Chiragh/a_FAQs""))",Chrome 71.0.3578.98,,2019-01-01 18:15:03,2019-01-01 18:15:03,0.133s,PASSED
delay(3),Chrome 71.0.3578.98,,2019-01-01 18:15:03,2019-01-01 18:15:06,3.002s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/FAQS/Page_Chiragh/div_Frequently Asked Questions""), 3)",Chrome 71.0.3578.98,,2019-01-01 18:15:06,2019-01-01 18:15:07,0.063s,PASSED
