Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
closeBrowser(),Chrome 71.0.3578.98,,2018-12-31 13:15:35,2018-12-31 13:15:35,0.796s,PASSED
Start listener action : sampleAfterTestCase,Chrome 71.0.3578.98,,2018-12-31 13:15:35,2018-12-31 13:15:35,0.009s,PASSED
,,,,,,
Test Cases/home page/load more,Chrome 71.0.3578.98,,2018-12-31 13:15:35,2018-12-31 13:15:36,0.309s,FAILED
acceptAlert(),Chrome 71.0.3578.98,,2018-12-31 13:15:36,2018-12-31 13:15:36,0.039s,FAILED
Start listener action : sampleAfterTestCase,Chrome 71.0.3578.98,,2018-12-31 13:15:36,2018-12-31 13:15:36,0.002s,PASSED
,,,,,,
Test Cases/home page/login,Chrome 71.0.3578.98,,2018-12-31 13:15:36,2018-12-31 13:15:49,13.313s,PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2018-12-31 13:15:36,2018-12-31 13:15:38,2.278s,PASSED
"navigateToUrl(""http://dev-chiragh.surge.sh/auth/login"")",Chrome 71.0.3578.98,,2018-12-31 13:15:38,2018-12-31 13:15:49,10.474s,PASSED
"setText(findTestObject(""Object Repository/Page_Chiragh/input_Sign In_userName (1)""), ""newuser01"")",Chrome 71.0.3578.98,,2018-12-31 13:15:49,2018-12-31 13:15:49,0.194s,PASSED
"setText(findTestObject(""Object Repository/Page_Chiragh/input_Sign In_userPassword (1)""), ""1234567890"")",Chrome 71.0.3578.98,,2018-12-31 13:15:49,2018-12-31 13:15:49,0.213s,PASSED
"click(findTestObject(""Object Repository/Page_Chiragh/button_Sign In""))",Chrome 71.0.3578.98,,2018-12-31 13:15:49,2018-12-31 13:15:49,0.144s,PASSED
Start listener action : sampleAfterTestCase,Chrome 71.0.3578.98,,2018-12-31 13:15:49,2018-12-31 13:15:49,0.003s,PASSED
,,,,,,
Test Cases/home page/view property by name,Chrome 71.0.3578.98,,2018-12-31 13:15:49,2018-12-31 13:16:13,24.160s,PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2018-12-31 13:15:49,2018-12-31 13:15:53,3.096s,PASSED
"navigateToUrl(""http://dev-chiragh.surge.sh/"")",Chrome 71.0.3578.98,,2018-12-31 13:15:53,2018-12-31 13:16:04,11.811s,PASSED
maximizeWindow(),Chrome 71.0.3578.98,,2018-12-31 13:16:04,2018-12-31 13:16:06,1.123s,PASSED
delay(3),Chrome 71.0.3578.98,,2018-12-31 13:16:06,2018-12-31 13:16:09,3.005s,PASSED
"click(findTestObject(""Object Repository/property by name/Page_Chiragh/h2_Project 51468 Penthouse wit""))",Chrome 71.0.3578.98,,2018-12-31 13:16:09,2018-12-31 13:16:09,0.190s,PASSED
delay(3),Chrome 71.0.3578.98,,2018-12-31 13:16:09,2018-12-31 13:16:12,3.003s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/property by name/Page_Chiragh/div_Exit VR""), 3)",Chrome 71.0.3578.98,,2018-12-31 13:16:12,2018-12-31 13:16:12,0.084s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/property by name/Page_Chiragh/ul_PROPERTY DESCRIPTION""), 3)",Chrome 71.0.3578.98,,2018-12-31 13:16:12,2018-12-31 13:16:12,0.661s,PASSED
closeBrowser(),Chrome 71.0.3578.98,,2018-12-31 13:16:12,2018-12-31 13:16:13,0.826s,PASSED
